ID_road_seg,long_midpoint,lat_midpoint,length
1_1,34.7959797644701,-2.4182586978038385,2500.9585753413567
1_2,34.78236690869337,-2.4019008969009983,2500.3181846596563
1_3,34.76789239148549,-2.3850803368753435,2500.344318818275
1_4,34.759389057954664,-2.3781994452571755,74.284298159933
2_1,34.78924227607467,-2.4270004997825048,2499.3921077946006
2_2,34.76776623871378,-2.4208621147071923,2499.536626851918
2_3,34.7470798572664,-2.4138851794592653,2500.008769637938
2_4,34.73160172160777,-2.3988639548452966,2500.4596266853123
2_5,34.72270232509098,-2.385357455592449,1330.4190491968131
3_1,35.07022587494705,-2.7113663182081114,2207.408657452307
4_1,34.95069797335494,-2.7271586935327483,895.021314504967
5_1,35.091139827269494,-2.747326922594827,2499.4640689769576
5_2,35.07818639846336,-2.738850925440764,959.942231256682
6_1,35.08188396873083,-2.7075993859126672,2500.579479353942
6_2,35.070999201765765,-2.698893509008721,2499.400441993805
6_3,35.05245823555951,-2.7061135070182405,2498.832401073563
6_4,35.03034610632511,-2.7074267046794556,2498.7399520193812
6_5,35.007969726550186,-2.7083184046678923,2498.699966252951
6_6,34.985554396291555,-2.7094967299087895,2498.685800390684
6_7,34.963309811906164,-2.7103327540081734,2499.0813219487086
6_8,34.94851045093564,-2.7177728525891234,1362.2563161191779
7_1,35.079408408813556,-2.7782457644513423,740.6964830029675
8_1,34.922414068715845,-2.5404125334362235,2500.4941041593274
8_2,34.929940739126224,-2.530210211125322,442.5127830689453
9_1,35.06256092367751,-2.7179785655555704,2501.212700119058
9_2,35.063082179999576,-2.705822125880741,360.6306512778094
10_1,35.007733594516495,-2.825850749612835,2499.63173958278
10_2,35.02575747611757,-2.8125176324677104,2499.5414867517343
10_3,35.04330100546621,-2.7988060379492468,2499.4822922314215
10_4,35.062752437878686,-2.7876223001200655,2499.300074906207
10_5,35.08198160017993,-2.776322108523797,2499.571584736783
10_6,35.09943271298089,-2.7633013541508995,2499.1867987347296
10_7,35.11821224735669,-2.7519086025201025,2499.9111001032297
10_8,35.127819412899584,-2.741930269962766,585.7808226244865
11_1,35.087947952705306,-2.7599989568764234,2500.702908704994
11_2,35.076915809802976,-2.740555094531955,2500.496370330746
11_3,35.0651041005745,-2.729242368422397,1242.664584019612
12_1,35.06034868077719,-2.723830159806088,162.95865114346026
13_1,35.06190897171435,-2.719259488890089,181.18111673129965
14_1,35.070797822213294,-2.7201650262605304,2499.773789332913
14_2,35.085711867020606,-2.7357880971933106,2499.8163490982115
14_3,35.09480677435525,-2.7521141923826415,2501.039448555586
14_4,35.091034048443525,-2.7671198558939656,965.3949884182721
15_1,35.10734123820856,-2.741939350804656,2499.121104914633
15_2,35.1281642068329,-2.7394985448442104,2499.72747541835
15_3,35.1251670930164,-2.757848682369667,2500.030445579761
15_4,35.1130356544276,-2.75888696845436,414.6185685172973
16_1,34.960971515278416,-2.6785316152019263,2499.9999066181554
