ID_road_seg,road_importance,nbr_carcasses,long_midpoint,lat_midpoint,length,distances.from.center
1_1,minor_road,0,34.7959797644701,-2.4182586978038385,2500.9585753413567,3959.7198880384008
1_2,minor_road,0,34.78236690869337,-2.4019008969009983,2500.3181846596563,6327.657045372787
1_3,minor_road,0,34.76789239148549,-2.3850803368753435,2500.344318818275,8796.383730999696
1_4,minor_road,0,34.759389057954664,-2.3781994452571755,74.284298159933,9992.217149603966
2_1,minor_road,0,34.78924227607467,-2.4270004997825048,2499.3921077946006,3859.4745082124855
2_2,minor_road,0,34.76776623871378,-2.4208621147071923,2499.536626851918,6275.509177809179
2_3,minor_road,0,34.7470798572664,-2.4138851794592653,2500.008769637938,8687.514407716872
2_4,minor_road,0,34.73160172160777,-2.3988639548452966,2500.4596266853123,10974.89535569165
2_5,minor_road,0,34.72270232509098,-2.385357455592449,1330.4190491968131,12591.593245136515
3_1,minor_road,0,35.07022587494705,-2.7113663182081114,2207.408657452307,40715.32770238972
4_1,minor_road,0,34.95069797335494,-2.7271586935327483,895.021314504967,34590.675261828874
5_1,minor_road,0,35.091139827269494,-2.747326922594827,2499.4640689769576,45232.62801981623
5_2,minor_road,0,35.07818639846336,-2.738850925440764,959.942231256682,43568.7967215881
6_1,minor_road,0,35.08188396873083,-2.7075993859126672,2500.579479353942,41321.56420939707
6_2,minor_road,0,35.070999201765765,-2.698893509008721,2499.400441993805,39780.21650156518
6_3,minor_road,0,35.05245823555951,-2.7061135070182405,2498.832401073563,38945.035974218874
6_4,minor_road,0,35.03034610632511,-2.7074267046794556,2498.7399520193812,37458.90911336594
6_5,minor_road,0,35.007969726550186,-2.7083184046678923,2498.699966252951,36024.676672979476
6_6,minor_road,0,34.985554396291555,-2.7094967299087895,2498.685800390684,34734.688261952
6_7,minor_road,0,34.963309811906164,-2.7103327540081734,2499.0813219487086,33556.66937760796
6_8,minor_road,0,34.94851045093564,-2.7177728525891234,1362.2563161191779,33542.47349199246
7_1,minor_road,0,35.079408408813556,-2.7782457644513423,740.6964830029675,47024.00157804466
8_1,minor_road,0,34.922414068715845,-2.5404125334362235,2500.4941041593274,15640.20635729438
8_2,minor_road,0,34.929940739126224,-2.530210211125322,442.5127830689453,15560.283093897762
9_1,minor_road,0,35.06256092367751,-2.7179785655555704,2501.212700119058,40678.32113881165
9_2,minor_road,0,35.063082179999576,-2.705822125880741,360.6306512778094,39721.16828680703
10_1,minor_road,0,35.007733594516495,-2.825850749612835,2499.63173958278,47243.513316655764
10_2,minor_road,0,35.02575747611757,-2.8125176324677104,2499.5414867517343,46873.27794169992
10_3,minor_road,0,35.04330100546621,-2.7988060379492468,2499.4822922314215,46569.45218845838
10_4,minor_road,0,35.062752437878686,-2.7876223001200655,2499.300074906207,46748.38027688527
10_5,minor_road,0,35.08198160017993,-2.776322108523797,2499.571584736783,47033.649233750046
10_6,minor_road,0,35.09943271298089,-2.7633013541508995,2499.1867987347296,47172.660633994485
10_7,minor_road,0,35.11821224735669,-2.7519086025201025,2499.9111001032297,47667.95719699907
10_8,minor_road,0,35.127819412899584,-2.741930269962766,585.7808226244865,47646.971466517745
11_1,minor_road,0,35.087947952705306,-2.7599989568764234,2500.702908704994,46056.43070874823
11_2,minor_road,0,35.076915809802976,-2.740555094531955,2500.496370330746,43617.61357997048
11_3,minor_road,0,35.0651041005745,-2.729242368422397,1242.664584019612,41805.09589161826
12_1,minor_road,0,35.06034868077719,-2.723830159806088,162.95865114346026,41003.48713590881
13_1,minor_road,0,35.06190897171435,-2.719259488890089,181.18111673129965,40736.29985973265
14_1,minor_road,0,35.070797822213294,-2.7201650262605304,2499.773789332913,41474.44619574169
14_2,minor_road,0,35.085711867020606,-2.7357880971933106,2499.8163490982115,43877.161291956196
14_3,minor_road,0,35.09480677435525,-2.7521141923826415,2501.039448555586,45901.390258433545
14_4,minor_road,0,35.091034048443525,-2.7671198558939656,965.3949884182721,46882.15886144001
15_1,minor_road,0,35.10734123820856,-2.741939350804656,2499.121104914633,46029.39127960574
15_2,minor_road,0,35.1281642068329,-2.7394985448442104,2499.72747541835,47488.05180360467
15_3,minor_road,0,35.1251670930164,-2.757848682369667,2500.030445579761,48681.561572343024
15_4,minor_road,0,35.1130356544276,-2.75888696845436,414.6185685172973,47829.595230849714
16_1,minor_road,0,34.960971515278416,-2.6785316152019263,2499.9999066181554,30363.209069815486
16_2,minor_road,0,34.954190980368374,-2.69765377559602,2500.5951826536784,31832.300435867448
16_3,minor_road,0,34.94515643707164,-2.711631289486241,1439.3802606217007,32764.80458393761
17_1,minor_road,0,34.98068428916554,-2.678128729621687,2498.9301925717996,31527.56267643442
17_2,minor_road,0,35.00195063974979,-2.6844632712015377,2499.1490313951444,33495.513610386675
17_3,minor_road,0,35.02113869107283,-2.6957787596146754,2499.245475585116,35806.928723564364
17_4,minor_road,0,35.041509257392214,-2.6999203349905763,2499.43721984407,37620.87932320266
17_5,minor_road,0,35.05170337701219,-2.705919530799733,168.61786023405344,38872.87683146885
18_1,minor_road,0,35.11333658335365,-2.7695859256829145,2501.2339967870976,48726.2028549761
18_2,minor_road,0,35.12017627447112,-2.7905290320084446,2501.2362279326203,50971.70494668892
18_3,minor_road,0,35.123384277762916,-2.8122160173995168,2429.085751193259,53039.50548409516
19_1,minor_road,0,35.105099396996486,-2.75395199339441,2500.033387615624,46825.50029040435
19_2,minor_road,0,35.11592419588179,-2.7453379769361774,2263.1997442728966,46968.59020149056
20_1,minor_road,0,35.061521639200734,-2.7165212832813483,2501.309152604439,40480.40779898801
20_2,minor_road,0,35.05656174501599,-2.7376493198540914,2501.1739246834213,41908.31262736175
20_3,minor_road,0,35.04873889262837,-2.7583434679766015,2500.9715757409235,43195.38666099153
20_4,minor_road,0,35.04193690768042,-2.7796048530500985,2501.070832587165,44697.03567127915
20_5,minor_road,0,35.02992545376127,-2.7980327581098043,2500.5423874482235,45713.59168250696
20_6,minor_road,0,35.024444308077726,-2.8108360512058725,635.5348518525183,46638.47508766415
21_1,minor_road,0,34.77542648646885,-2.6499442440924907,2500.2144412880134,23198.610118147215
21_2,minor_road,0,34.77056654329772,-2.6374821137520947,638.8702524015644,21967.019583542573
22_1,minor_road,0,34.77798072955784,-2.750150163587944,567.6484547746775,34154.02847586932
23_1,minor_road,0,34.77107723478901,-2.7357422791216277,2500.5274717038565,32679.182678498364
23_2,minor_road,0,34.75714952381164,-2.718411554909361,2499.6781614240813,31078.186580647547
23_3,minor_road,0,34.737738817424315,-2.709234561361081,2499.4168236631363,30642.186004628446
23_4,minor_road,0,34.71885076140296,-2.6974814130610527,2499.4791964140445,30100.044756136984
23_5,minor_road,0,34.704601969055524,-2.6903524389141777,1110.0206644168757,29995.999096574087
24_1,minor_road,0,34.79485328078715,-2.5101923056436357,2500.3307218126643,7606.73087292357
24_2,minor_road,0,34.78248955286707,-2.5266191471868154,2501.1004034265184,9818.2515046659
24_3,minor_road,0,34.78562143321418,-2.5456948511691704,2500.7469203513574,11677.956468464738
24_4,minor_road,0,34.79943172608577,-2.561765549021429,2500.5803926321787,13057.196370064608
24_5,minor_road,0,34.79150257476617,-2.582394448953302,2501.1191256679413,15473.490182830832
24_6,minor_road,0,34.78655137646649,-2.604214024918696,2501.1265112450287,17963.139196196535
24_7,minor_road,0,34.77680808130547,-2.6227715878857154,2500.6666193164815,20212.202416479457
24_8,minor_road,0,34.77025087938647,-2.633450119509334,311.8263299598521,21540.420573491007
25_6,minor_road,0,34.31804942262515,-2.1583809187942102,2499.738397433062,64193.91305522805
25_7,minor_road,0,34.33931706087143,-2.1633586322715166,2499.8899552721527,61871.05823641928
25_8,minor_road,0,34.35857529563167,-2.1689352303483442,2500.249170961187,59713.42968294051
25_9,minor_road,0,34.379083184085594,-2.174855177838941,2499.8345203436843,57422.992059507575
25_10,minor_road,0,34.40088569072663,-2.1749803434807915,2499.8045070945773,55367.01824790099
25_11,minor_road,0,34.41300808310985,-2.1722226787804226,371.3119309897828,54412.75745874275
26_1,minor_road,0,34.74310172358919,-2.622184218763592,1016.7009102986636,21321.07257932302
27_1,minor_road,0,34.900955925807644,-2.670574236593151,2499.3199267271684,26637.710294099525
27_2,minor_road,0,34.88743737799646,-2.662759763242696,1472.8256497900093,25326.71182977621
28_1,minor_road,0,34.82052575789792,-2.54717543727672,2499.4337600358845,11266.547681524058
28_2,minor_road,0,34.830132633424476,-2.531196024465523,2501.232673092963,9576.183368125718
28_3,minor_road,0,34.826202827508766,-2.5174008478350003,777.3159862100617,7998.021589415267
31_1,minor_road,0,34.78088297986471,-2.6259845154073695,2500.473785252074,20463.714660703907
31_2,minor_road,0,34.79889490368527,-2.624734867273313,2499.4909732767596,20014.029585647997
31_3,minor_road,0,34.81730756318518,-2.617848374223051,2500.4087891378076,19131.34452065389
31_4,minor_road,0,34.81398950653758,-2.5982308661897235,2500.9751310772613,16953.931182017826
31_5,minor_road,0,34.80531345547284,-2.5783830836634998,2344.577797773137,14808.11314570137
32_1,minor_road,0,34.81985007408802,-2.5069522540176417,2500.884002928611,6788.402874902325
32_2,minor_road,0,34.81732512464764,-2.4936918933189807,596.1555333582089,5311.05651128221
34_1,major_road,0,34.80682959321492,-2.3879426734092895,2501.0352045926575,6586.133172492084
34_2,major_road,0,34.79325621767715,-2.3708155743103503,2500.279794382677,8819.021905795655
34_3,major_road,0,34.77653721620832,-2.3558445046575547,2500.2572756421646,11056.793959937264
34_4,major_road,0,34.757874441141304,-2.343831361794424,2499.7908597122073,13208.379703678009
34_5,major_road,0,34.73705693772502,-2.3360315112418326,2500.1191891724075,15212.95842070373
34_6,major_road,0,34.72314639492295,-2.3184214267872667,2500.4053447029805,17709.20819445039
34_7,major_road,0,34.7056420942016,-2.3055331236617467,2500.6168361994983,20035.301960912493
34_8,major_road,0,34.690669594867266,-2.2897270308402558,2500.1140058129336,22450.64838525806
34_9,major_road,0,34.67404162669856,-2.275310038683432,2500.6620638415307,24866.9028777511
34_10,major_road,0,34.66217580468225,-2.257335843855777,2500.7886538080375,27248.681058157872
34_11,major_road,0,34.64463288045595,-2.248553477984305,2499.8747546358572,29258.750592892276
34_12,major_road,0,34.62597657782515,-2.259858547446676,2500.274058629675,29779.102922868657
34_13,major_road,0,34.60846301384648,-2.2738418159687743,2499.952014088458,30196.49531069542
34_14,major_road,0,34.58710284519294,-2.2792797047940807,2499.6553894509902,31709.931901547712
