segment_ID,road_importance,nbr_carcasses,long_midpoint,lat_midpoint,length,dist_from_center,distance_water_km,distance_amenity_km
1_1,minor_road,2,34.7959797644701,-2.4182586978038385,2500.9585753413567,3959.7198880384008,1.17786987860603,1.41983106436163
1_2,minor_road,0,34.78236690869337,-2.4019008969009983,2500.3181846596563,6327.657045372787,0.58552815861079,2.1735926299521102
1_3,minor_road,0,34.76789239148549,-2.3850803368753435,2500.344318818275,8796.383730999696,0.450487730958436,3.3626802601128203
2_1,minor_road,0,34.78924227607467,-2.4270004997825048,2499.3921077946006,3859.4745082124855,1.18546458318878,2.63141592892433
2_2,minor_road,0,34.76776623871378,-2.4208621147071923,2499.536626851918,6275.509177809179,1.90858891981852,4.0521246158069
2_3,minor_road,0,34.7470798572664,-2.4138851794592653,2500.008769637938,8687.514407716872,0.204664337576071,4.25727773997012
2_4,minor_road,0,34.73160172160777,-2.3988639548452966,2500.4596266853123,10974.89535569165,0.146784742601581,3.33486561171812
3_1,minor_road,0,35.07022587494705,-2.7113663182081114,2207.408657452307,40715.32770238972,10.7988796451651,12.4811665685835
5_1,minor_road,0,35.091139827269494,-2.747326922594827,2499.4640689769576,45232.62801981623,7.4184157902444605,7.858683146972671
6_1,minor_road,0,35.08188396873083,-2.7075993859126672,2500.579479353942,41321.56420939707,9.862464161826031,12.205520156963999
6_2,minor_road,0,35.070999201765765,-2.698893509008721,2499.400441993805,39780.21650156518,10.687746444799,13.6282432489202
6_3,minor_road,0,35.05245823555951,-2.7061135070182405,2498.832401073563,38945.035974218874,10.8719061703429,12.237721045862399
6_4,minor_road,0,35.03034610632511,-2.7074267046794556,2498.7399520193812,37458.90911336594,10.042341082453401,10.614788349685199
6_5,minor_road,0,35.007969726550186,-2.7083184046678923,2498.699966252951,36024.676672979476,7.58045704037756,9.39938464696544
6_6,minor_road,0,34.985554396291555,-2.7094967299087895,2498.685800390684,34734.688261952,5.14859446081843,8.70989952381645
6_7,minor_road,0,34.963309811906164,-2.7103327540081734,2499.0813219487086,33556.66937760796,2.82277896670371,8.7420373211846
8_1,minor_road,0,34.922414068715845,-2.5404125334362235,2500.4941041593274,15640.20635729438,1.338016009382,10.6402099691918
9_1,minor_road,0,35.06256092367751,-2.7179785655555704,2501.212700119058,40678.32113881165,11.2902850345563,12.1395604073636
10_1,minor_road,0,35.007733594516495,-2.825850749612835,2499.63173958278,47243.513316655764,10.385861640198,0.668715202455376
10_2,minor_road,0,35.02575747611757,-2.8125176324677104,2499.5414867517343,46873.27794169992,12.8759345447135,3.14602311488545
10_3,minor_road,0,35.04330100546621,-2.7988060379492468,2499.4822922314215,46569.45218845838,13.652275660219901,5.622325095121879
10_4,minor_road,0,35.062752437878686,-2.7876223001200655,2499.300074906207,46748.38027688527,11.189681720716301,7.83051523613927
10_5,minor_road,0,35.08198160017993,-2.776322108523797,2499.571584736783,47033.649233750046,8.76568861765895,6.34036545379585
10_6,minor_road,0,35.09943271298089,-2.7633013541508995,2499.1867987347296,47172.660633994485,6.54585767778473,5.87401604920969
10_7,minor_road,0,35.11821224735669,-2.7519086025201025,2499.9111001032297,47667.95719699907,4.37792285729386,6.154411988669169
11_1,minor_road,0,35.087947952705306,-2.7599989568764234,2500.702908704994,46056.43070874823,7.76794642768526,6.97507296353565
11_2,minor_road,0,35.076915809802976,-2.740555094531955,2500.496370330746,43617.61357997048,9.0857256180247,9.411887501459631
14_1,minor_road,0,35.070797822213294,-2.7201650262605304,2499.773789332913,41474.44619574169,10.3479516027072,11.6319679437084
14_2,minor_road,0,35.085711867020606,-2.7357880971933106,2499.8163490982115,43877.161291956196,8.23552551589985,9.26316561371536
14_3,minor_road,0,35.09480677435525,-2.7521141923826415,2501.039448555586,45901.390258433545,6.97774749551891,7.18888805866693
15_1,minor_road,0,35.10734123820856,-2.741939350804656,2499.121104914633,46029.39127960574,5.73662302679508,7.56719647455463
15_2,minor_road,0,35.1281642068329,-2.7394985448442104,2499.72747541835,47488.05180360467,3.63568487955129,7.379698009275811
15_3,minor_road,0,35.1251670930164,-2.757848682369667,2500.030445579761,48681.561572343024,3.62674588938552,5.36811420088347
16_1,minor_road,0,34.960971515278416,-2.6785316152019263,2499.9999066181554,30363.209069815486,3.23383732481792,12.2736620601991
16_2,minor_road,0,34.954190980368374,-2.69765377559602,2500.5951826536784,31832.300435867448,1.54272433348917,10.3469695840831
17_1,minor_road,0,34.98068428916554,-2.678128729621687,2498.9301925717996,31527.56267643442,5.0508615837407795,12.1677876520107
17_2,minor_road,0,35.00195063974979,-2.6844632712015377,2499.1490313951444,33495.513610386675,7.036899093029789,11.7560117581545
17_3,minor_road,0,35.02113869107283,-2.6957787596146754,2499.245475585116,35806.928723564364,8.98525184869646,11.254320467833601
17_4,minor_road,0,35.041509257392214,-2.6999203349905763,2499.43721984407,37620.87932320266,10.0259605422557,12.0058166674361
18_1,minor_road,0,35.11333658335365,-2.7695859256829145,2501.2339967870976,48726.2028549761,5.21767044423104,4.47004497279564
18_2,minor_road,0,35.12017627447112,-2.7905290320084446,2501.2362279326203,50971.70494668892,5.82509414103873,2.0664703793458004
18_3,minor_road,0,35.123384277762916,-2.8122160173995168,2429.085751193259,53039.50548409516,6.4592639065225805,1.09249820999583
19_1,minor_road,0,35.105099396996486,-2.75395199339441,2500.033387615624,46825.50029040435,5.83064212612274,6.435901749468949
19_2,minor_road,0,35.11592419588179,-2.7453379769361774,2263.1997442728966,46968.59020149056,4.7229784905619,6.925067627094419
20_1,minor_road,0,35.061521639200734,-2.7165212832813483,2501.309152604439,40480.40779898801,11.4562910540419,12.155361969867299
20_2,minor_road,0,35.05656174501599,-2.7376493198540914,2501.1739246834213,41908.31262736175,11.3715117302308,10.306007651428
20_3,minor_road,0,35.04873889262837,-2.7583434679766015,2500.9715757409235,43195.38666099153,12.1077376462672,8.458801647573381
20_4,minor_road,0,35.04193690768042,-2.7796048530500985,2501.070832587165,44697.03567127915,13.1695355567538,7.0683439840906805
20_5,minor_road,0,35.02992545376127,-2.7980327581098043,2500.5423874482235,45713.59168250696,14.2881708919205,4.62815453405316
21_1,minor_road,0,34.77542648646885,-2.6499442440924907,2500.2144412880134,23198.610118147215,0.40034690546538504,4.981387859207279
23_1,minor_road,0,34.77107723478901,-2.7357422791216277,2500.5274717038565,32679.182678498364,0.714188847547249,0.993568234688605
23_2,minor_road,0,34.75714952381164,-2.718411554909361,2499.6781614240813,31078.186580647547,0.322606110516813,3.42499263896184
23_3,minor_road,0,34.737738817424315,-2.709234561361081,2499.4168236631363,30642.186004628446,1.9128227993037499,4.0579932743976705
23_4,minor_road,0,34.71885076140296,-2.6974814130610527,2499.4791964140445,30100.044756136984,0.973541303319297,1.70854704985573
24_1,minor_road,0,34.79485328078715,-2.5101923056436357,2500.3307218126643,7606.73087292357,0.113350162646478,2.29019470045196
24_2,minor_road,0,34.78248955286707,-2.5266191471868154,2501.1004034265184,9818.2515046659,0.116220141622879,0.9127227429640771
24_3,minor_road,0,34.78562143321418,-2.5456948511691704,2500.7469203513574,11677.956468464738,1.36460407254824,1.45684361110147
24_4,minor_road,0,34.79943172608577,-2.561765549021429,2500.5803926321787,13057.196370064608,1.4967589974022302,3.79459884702209
24_5,minor_road,0,34.79150257476617,-2.582394448953302,2501.1191256679413,15473.490182830832,3.43382185823619,2.95182017875666
24_6,minor_road,0,34.78655137646649,-2.604214024918696,2501.1265112450287,17963.139196196535,2.98184701688234,2.2416772700844
24_7,minor_road,0,34.77680808130547,-2.6227715878857154,2500.6666193164815,20212.202416479457,0.964027772987536,2.61562182266641
