segment_ID,sparse_open_grassland,dense_closed_grassland,sparse_open_shrubland,dense_closed_shrubland,woodland,forest,water,bare_ground,grassland,shrubland
10_1,71.0133803089124,18.301424177329157,2.80555754968607,1.0318244821549871,6.84781348191755,0,0,0,89.31480448624156,3.8373820318410568
10_2,65.75194522167592,21.96463936404991,0,0.3314541723175,11.9519612419589,0,0,0,87.71658458572583,0.3314541723175
10_3,14.627231225493931,14.06130246920435,0,16.040109298115087,45.73748458829846,9.5338724188872,0,0,28.68853369469828,16.040109298115087
10_4,9.4451936419655,33.462046398128045,0,3.770650629186318,49.10221939295586,4.21988993776543,0,0,42.90724004009354,3.770650629186318
101_1,0.512819096643065,99.4871809033584,0,0,0,0,0,0,100.00000000000146,0
101_2,21.22704300035919,78.77295699963744,0,0,0,0,0,0,99.99999999999663,0
101_3,30.9620207019208,69.03797929807835,0,0,0,0,0,0,99.99999999999915,0
101_4,12.3632506022499,87.63674939774819,0,0,0,0,0,0,99.9999999999981,0
101_5,14.3702087103059,85.6297912896941,0,0,0,0,0,0,100,0
101_6,14.78050475070228,55.94462491086791,0,16.5083099201003,12.7665604183299,0,0,0,70.7251296615702,16.5083099201003
102_1,3.17751761700217,96.46031612341783,0,0,0.17546814902159,0.186698110558971,0,0,99.63783374041999,0
102_10,46.58909870035858,50.63767163569177,0,0.0474905916168061,2.72573907233204,0,0,0,97.22677033605035,0.0474905916168061
102_11,10.633811804002761,77.0655895065665,0,1.126634743961782,11.1739639454688,0,0,0,87.69940131056926,1.126634743961782
102_12,4.684136743457008,79.96644332343445,0,2.5832569845352307,12.76616294857225,0,0,0,84.65058006689145,2.5832569845352307
102_13,8.230575691901459,60.67945982003256,0,4.345575678062026,26.744388810004022,0,0,0,68.91003551193403,4.345575678062026
102_14,19.6145756938424,42.13816846175726,0,9.343766478571009,28.9034893658285,0,0,0,61.75274415559966,9.343766478571009
102_15,10.471513312181,81.47275486273712,0,2.7912815560767,5.26445026900263,0,0,0,91.94426817491812,2.7912815560767
102_16,6.825750543333028,92.8417764580457,0,0.332472998619975,0,0,0,0,99.66752700137873,0.332472998619975
102_17,7.4653161313126795,91.67863296956092,0,0.856050899129589,0,0,0,0,99.1439491008736,0.856050899129589
102_18,53.59957439653357,46.40042560346671,0,0,0,0,0,0,100.00000000000028,0
102_19,37.754607444617584,61.63951221124216,0,0,0.605880344140036,0,0,0,99.39411965585975,0
102_2,2.9870198002578903,96.7186408480022,0,0.0179475214472881,0,0.276391830288237,0,0,99.70566064826008,0.0179475214472881
102_20,17.61081131706458,81.33251796698028,0,0,1.05667071595226,0,0,0,98.94332928404486,0
102_3,5.3418095931837,76.17183188751171,0,7.522404697260713,2.85935809990508,8.10459572213766,0,0,81.51364148069541,7.522404697260713
102_4,0.0706794409089265,29.163060809363262,0,17.02567555910517,43.4236119420431,10.3169722485802,0,0,29.233740250272188,17.02567555910517
102_5,10.64432211395942,38.025449296722684,0,12.7700836396982,38.172282817984396,0.387862131634867,0,0,48.6697714106821,12.7700836396982
102_6,16.56624485780717,66.76019495618038,0.00586880701126811,8.35606331604363,6.345857181184046,1.96577088177428,0,0,83.32643981398755,8.361932123054897
102_7,16.233277429996317,71.29612717178915,0,3.64257288190006,8.792598619575013,0.035423896739341,0,0,87.52940460178547,3.64257288190006
102_8,22.901818078437362,47.631664984576844,0,15.81742455472015,13.649092382265659,0,0,0,70.5334830630142,15.81742455472015
102_9,56.825764224780904,29.32779228258255,0,10.05279871976259,3.79364477287137,0,0,0,86.15355650736345,10.05279871976259
103_1,10.21742376893678,87.50490876609022,0,0.00276550202158198,2.274901962953331,0,0,0,97.72233253502701,0.00276550202158198
104_1,16.452729450165677,76.23367603303059,0.315546676041604,2.76789312571276,4.23015471505048,0,0,0,92.68640548319627,3.083439801754364
110_1,10.145534153024323,74.73516088614656,0,4.41724380068568,10.7020611601427,0,0,0,84.88069503917089,4.41724380068568
114_1,26.8378569768855,70.37271650973267,0,0,2.78942651338283,0,0,0,97.21057348661817,0
114_2,1.3251056794587872,97.5869972104517,0,0.884141031276696,0.203756078815174,0,0,0,98.91210288991049,0.884141031276696
115_1,69.42964042245627,25.764941537655833,0,1.84148723077652,2.96393080911216,0,0,0,95.1945819601121,1.84148723077652
115_2,31.75593303557728,56.640508398449676,0,0.7490396391219081,10.8545189268508,0,0,0,88.39644143402695,0.7490396391219081
118_1,0,36.917873532392015,0,30.817986769176102,32.26413969843297,0,0,0,36.917873532392015,30.817986769176102
12_1,2.56545689855425,97.43454310144645,0,0,0,0,0,0,100.0000000000007,0
12_2,1.6077844686205,98.39221553137865,0,0,0,0,0,0,99.99999999999915,0
120_1,7.8475268325094,30.34768536005029,0.0636867164948596,0.0634110164234533,21.696217119320053,36.8773658512373,0,0,38.19521219255969,0.1270977329183129
120_10,30.5694217431639,49.03587047753679,1.0994168838627,0,19.2952908954366,0,0,0,79.60529222070069,1.0994168838627
120_11,33.4670854007872,43.74686087393318,0,2.31398435818325,20.4720693670972,0,0,0,77.21394627472037,2.31398435818325
120_12,54.0201754579798,31.91335381079713,0,1.51233067420944,12.5541400570129,0,0,0,85.93352926877694,1.51233067420944
120_13,31.990921741435322,38.06545844101322,0,1.855134406820842,28.0884854107304,0,0,0,70.05638018244855,1.855134406820842
120_14,51.611772079551,35.15554463400706,1.08206163250768,0.607434445398546,11.5431872085349,0,0,0,86.76731671355806,1.689496077906226
120_15,73.05267772419967,12.72799915653493,1.46024893318314,1.331786980672442,11.4272872054115,0,0,0,85.7806768807346,2.792035913855582
