variable,mean,sd
nbr_carcasses,0.15930902111324377,0.5577726157322271
long_midpoint,34.8781053425427,0.14617138803737742
lat_midpoint,-2.523308633660459,0.234265431583306
length,2484.2849220377316,69.78372181238687
distance_water_km,2.3472218385615617,3.17636092324212
distance_amenity_km,4.941407213961317,3.7743131794160014
sparse_open_grassland,21.572664342637424,18.358346416055245
dense_closed_grassland,58.05900244831045,27.578465739821493
sparse_open_shrubland,0.7786781881665252,1.8350397331395103
dense_closed_shrubland,3.8989471069290427,7.245452353802931
woodland,14.290110765820739,18.954054222432976
forest,1.3340534132346569,5.418214922864822
water,0.014423375067549675,0.26365523488619674
bare_ground,0.04616238074736012,0.6623035512979031
grassland,79.63166679094788,24.659277890550122
shrubland,4.677625295095568,7.545655859804993
