segment_ID,unclassified,bare_ground,water,clouds,sparse_grassland,open_grassland,dense_grassland,closed_grassland,sparse_shrubbed_grassland,open_shrubbed_grassland,dense_shrubbed_grassland,closed_shrubbed_grassland,open_treed_grassland,dense_treed_grassland,closed_treed_grassland,dense_shrubland,open_grassed_shrubland,dense_grassed_shrubland,closed_grassed_shrubland,open_treed_shrubland,dense_treed_shrubland,closed_treed_shrubland,dense_forest,open_grassed_woodland,dense_grassed_woodland,closed_grassed_woodland,dense_shrubbed_forest,closed_shrubbed_forest
10_1,0,0,0,0,0,6.28896607707899,0.499483673593356,13.4341504359783,0,0,1.63319288518779,0,64.7244142318334,2.73459718256971,0,0,2.80555754968607,0,0.911164247019389,0,0,0.120660235135598,0,6.84781348191755,0,0,0,0
10_2,0,0,0,0,0,9.58841678152482,0.0392220770575708,17.9366425349615,0,0,0,0,56.1635284401511,3.98877475203084,0,0,0,0,0,0,0,0.3314541723175,0,11.9519612419589,0,0,0,0
10_3,0,0,0,0,0,0.333225960523831,1.36067267213898,3.60106188006086,0,0,0.360994790567484,0.706161348010086,14.2940052649701,8.03241177842694,0,0,0,0,0,0,15.6235768474603,0.416532450654789,0,42.394950515944,0,3.34253407235446,9.5338724188872,0
10_4,0,0,0,0,0,2.43717210974953,0.279204045108205,0.946222508871708,0,0,0.00223363236086564,6.18073994656037,7.00802153221597,26.0536462652269,0,0,0,0,1.34939315000796,0,2.00245141151605,0.418806067662308,0,45.8578683887985,0,3.24435100415736,4.21988993776543,0
101_1,0,0,0,0,0,0,17.8691358570184,55.2781429155307,0,0,0,26.3399021308093,0.512819096643065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101_2,0,0,0,0,0,20.8149907481567,10.2667845010909,68.4512137866241,0,0,0,0.0549587119224502,0.412052252202491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101_3,0,0,0,0,0,30.9620207019208,6.90404648542356,62.1339328126548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101_4,0,0,0,0,0,12.3632506022499,37.9909165248514,36.8557583928207,0,0,0,12.7900744800761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101_5,0,0,0,0,0,14.3702087103059,7.6563946019863,55.7255134881273,0,0,0,22.2478831995805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101_6,0,0,0,0,0,12.376204435614,9.33563301052526,38.8960330568446,0,0,0,0,2.40430031508828,2.36194318659687,5.35101565690118,0,0,16.5083099201003,0,0,0,0,0,12.7665604183299,0,0,0,0
102_1,0,0,0,0,0,1.39391897582751,25.1222662062377,56.3828293888104,0,0,12.2372890872849,1.56686038350319,1.78359864117466,1.15107105758163,0,0,0,0,0,0,0,0,0,0.17546814902159,0,0,0.186698110558971,0
