segment_ID,road_importance,nbr_carcasses,long_midpoint,lat_midpoint,length,distance_water_km,distance_amenity_km
4_1,minor_road,0,34.791796084504355,-2.7561682083138828,2499.762116743401,2.7582368877317753,1.46972821805372
4_2,minor_road,0,34.80605969078107,-2.7401250339982495,2500.3172823923346,2.364080784812662,3.1728586970430404
4_3,minor_road,0,34.80181948960422,-2.724483399034325,2499.914811340263,2.2994299866390104,3.74812056262847
4_4,minor_road,0,34.78602965045758,-2.710956250064313,2408.9471173147326,2.731755426289286,3.9139231124909
5_1,minor_road,0,34.76454240283233,-2.7757377565022967,2500.1948884044805,1.8291165412612445,1.20192345284509
5_2,minor_road,0,34.749686141246976,-2.779398091155685,2500.38715847711,0.24380226539301256,1.80975168765783
5_3,minor_road,0,34.745694141543666,-2.7596346449275098,2501.2930296319637,0.31392110580224875,1.5452610277947698
5_4,minor_road,0,34.746583459428486,-2.738765862075137,2500.9291814406483,0.14606984005260684,2.6108636512224104
5_5,minor_road,0,34.75493423327097,-2.719804351913011,2500.5895587492087,0.11265398708221416,3.43352205889803
5_6,minor_road,0,34.7659488292695,-2.7014440668434565,2500.692176910681,0.30902648002216015,4.83707001160162
5_7,minor_road,0,34.77706198316937,-2.682984917037074,2401.834237622737,0.44205564908197126,5.0161943715498
6_1,minor_road,0,34.78754675807539,-2.6495675986971343,2501.1965787613135,0.5428744890441477,5.72582712292798
6_2,minor_road,0,34.78202675792698,-2.6706600829831406,2501.372573597048,0.5418185582425692,5.29444781749831
6_3,minor_road,0,34.781188957516605,-2.6929996640291103,2501.3402690578787,1.2517469363033895,5.73967911575232
6_4,minor_road,1,34.77667928436277,-2.7144268603211845,2501.3408879971344,2.048326992412073,3.3134491887394604
6_5,minor_road,0,34.77773462824243,-2.7368644216237783,2501.262772640717,1.3752676355313112,0.892424502861032
6_6,minor_road,0,34.780548757842375,-2.75412960604806,2500.380691600492,1.4991793282459815,0.36861341697190303
6_7,minor_road,0,34.76748416971379,-2.767208587829272,2368.603956027232,1.993329167022417,0.896107633229544
7_1,minor_road,0,34.73251814208213,-2.344888639562055,2500.950187161344,0.02020243449865843,2.95890033431179
