segment_ID,road_importance,nbr_carcasses,long_midpoint,lat_midpoint,length,distance_water_km
4_1,minor_road,0,34.791796084504355,-2.7561682083138828,2499.762116743401,2.7582368877317753
4_2,minor_road,0,34.80605969078107,-2.7401250339982495,2500.3172823923346,2.364080784812662
4_3,minor_road,0,34.80181948960422,-2.724483399034325,2499.914811340263,2.2994299866390104
4_4,minor_road,0,34.78602965045758,-2.710956250064313,2408.9471173147326,2.731755426289286
5_1,minor_road,0,34.76454240283233,-2.7757377565022967,2500.1948884044805,1.8291165412612445
5_2,minor_road,0,34.749686141246976,-2.779398091155685,2500.38715847711,0.24380226539301256
5_3,minor_road,0,34.745694141543666,-2.7596346449275098,2501.2930296319637,0.31392110580224875
5_4,minor_road,0,34.746583459428486,-2.738765862075137,2500.9291814406483,0.14606984005260684
5_5,minor_road,0,34.75493423327097,-2.719804351913011,2500.5895587492087,0.11265398708221416
5_6,minor_road,0,34.7659488292695,-2.7014440668434565,2500.692176910681,0.30902648002216015
5_7,minor_road,0,34.77706198316937,-2.682984917037074,2401.834237622737,0.44205564908197126
6_1,minor_road,0,34.78754675807539,-2.6495675986971343,2501.1965787613135,0.5428744890441477
6_2,minor_road,0,34.78202675792698,-2.6706600829831406,2501.372573597048,0.5418185582425692
6_3,minor_road,0,34.781188957516605,-2.6929996640291103,2501.3402690578787,1.2517469363033895
6_4,minor_road,1,34.77667928436277,-2.7144268603211845,2501.3408879971344,2.048326992412073
6_5,minor_road,0,34.77773462824243,-2.7368644216237783,2501.262772640717,1.3752676355313112
6_6,minor_road,0,34.780548757842375,-2.75412960604806,2500.380691600492,1.4991793282459815
6_7,minor_road,0,34.76748416971379,-2.767208587829272,2368.603956027232,1.993329167022417
7_1,minor_road,0,34.73251814208213,-2.344888639562055,2500.950187161344,0.02020243449865843
7_2,minor_road,0,34.72329690547966,-2.36468681575828,2501.340733934507,0.7525285417674991
7_3,minor_road,0,34.71508481382535,-2.3803097046549624,2499.986834934155,0.5425023222089298
8_1,minor_road,2,34.86985607958267,-2.452123944548499,2500.3580952402476,0.5077575529094637
8_2,minor_road,0,34.888291968294915,-2.463529065442271,2500.1224232777863,0.8245247602097137
8_3,minor_road,0,34.88739167930054,-2.480920142753303,2500.07509226337,0.07369496722719567
9_1,minor_road,0,34.87293080583161,-2.4671332251692433,2500.41825928914,1.389301408381703
9_2,minor_road,1,34.85682308826902,-2.4817976945680877,2499.825180369582,0.22140968252136933
9_3,minor_road,1,34.836482700823026,-2.4876657481141295,2499.3092195854647,0.0780250241629029
9_4,minor_road,0,34.81537699611757,-2.483233220867144,2500.07299980852,0.10058629922801096
9_5,minor_road,0,34.80628613517933,-2.4637061340507223,2501.039728643368,0.1138767056841873
10_1,minor_road,0,34.78924227607467,-2.4270004997825048,2499.3921077946006,1.18546458318878
10_2,minor_road,0,34.76776623871378,-2.4208621147071923,2499.536626851918,1.9085889198185175
10_3,minor_road,0,34.7470798572664,-2.4138851794592653,2500.0087696379373,0.20466433757607055
10_4,minor_road,0,34.73160172160777,-2.398863954845297,2500.4596266853123,0.14678474260165442
12_1,minor_road,0,35.10006828312829,-2.7515079209686104,2499.388738038878,6.395352245602286
12_2,minor_road,0,35.0826802265406,-2.741357461547901,2106.9828120107636,8.438794633902786
14_1,minor_road,0,34.922414068715845,-2.5404125334362235,2500.494104159327,1.3380160093819993
15_1,minor_road,0,35.087947952705306,-2.7599989568764234,2500.702908704994,7.76794642768526
15_2,minor_road,0,35.076915809802976,-2.740555094531955,2500.496370330746,9.085725618024698
18_1,minor_road,0,34.960971515278416,-2.6785316152019263,2499.9999066181554,3.2338373248179155
18_2,minor_road,0,34.954190980368374,-2.69765377559602,2500.5951826536784,1.5427243334891725
19_1,minor_road,0,34.98068428916554,-2.678128729621687,2498.9301925717996,5.050861583740775
19_2,minor_road,0,35.00195063974979,-2.6844632712015377,2499.1490313951444,7.036899093029785
19_3,minor_road,0,35.02113869107283,-2.6957787596146754,2499.245475585116,8.985251848696464
19_4,minor_road,0,35.041509257392214,-2.6999203349905763,2499.43721984407,10.025960542255705
20_1,minor_road,0,35.061521639200734,-2.7165212832813483,2501.309152604439,11.45629105404186
